customer_id,loyalty_program_id,enrollment_date,tier,active_status,churn_date
92656,5,2023-11-02 22:57:03.969162,,No,
58644,2,2021-03-01 22:57:03.969162,Pro,Yes,
65983,3,2025-06-18 22:57:03.969162,Premium,Yes,2019-11-23 22:57:03.969162
20591,5,2017-11-14 22:57:03.969162,,Yes,
39824,3,2018-07-30 22:57:03.969162,Pro,Yes,2018-12-23 22:57:03.969162
96919,4,2021-11-12 22:57:03.969162,Gold,No,
94356,3,2020-07-12 22:57:03.969162,Gold,Yes,2017-11-16 22:57:03.969162
64169,4,2024-01-20 22:57:03.969162,Gold,Yes,
14282,4,2022-06-13 22:57:03.969162,Gold,No,
23738,4,2022-03-19 22:57:03.969162,Bronze,No,
25845,1,2017-09-18 22:57:03.969162,Gold,No,
14923,3,2019-04-08 22:57:03.969162,Pro,Yes,
10201,5,2021-12-14 22:57:03.969162,Premium,Yes,
46601,4,2018-07-27 22:57:03.969162,,No,
81503,3,2024-09-26 22:57:03.969162,Premium,Yes,2017-09-28 22:57:03.969162
71325,2,2022-10-20 22:57:03.969162,Premium,Yes,
8618,3,2021-08-15 22:57:03.969162,Silver,Yes,2020-02-14 22:57:03.969162
33941,5,2023-11-11 22:57:03.969162,,Yes,2018-12-23 22:57:03.969162
66489,4,2022-03-14 22:57:03.969162,Silver,Yes,
45589,4,2018-09-23 22:57:03.969162,Gold,Yes,
72953,5,2021-01-28 22:57:03.969162,Silver,Yes,2023-02-21 22:57:03.969162
62628,3,2018-11-10 22:57:03.969162,Pro,Yes,
62623,5,2024-10-21 22:57:03.969162,Bronze,No,
41041,4,2023-02-22 22:57:03.969162,,Yes,2019-10-25 22:57:03.969162
38994,4,2020-04-21 22:57:03.969162,Gold,No,
34984,5,2024-01-03 22:57:03.969162,Bronze,Yes,
47244,4,2017-08-24 22:57:03.969162,Premium,Yes,
87379,4,2021-02-03 22:57:03.969162,Silver,No,2022-05-01 22:57:03.969162
28046,5,2022-05-31 22:57:03.969162,Pro,Yes,2021-01-15 22:57:03.969162
24789,4,2025-03-29 22:57:03.969162,Premium,Yes,2021-09-15 22:57:03.969162
92218,3,2021-07-04 22:57:03.969162,Pro,No,
68502,2,2019-04-03 22:57:03.969162,Bronze,Yes,
38408,5,2021-02-27 22:57:03.969162,Pro,Yes,
77688,4,2023-10-04 22:57:03.969162,Gold,Yes,
51720,4,2018-11-11 22:57:03.969162,Silver,Yes,
31121,4,2019-01-05 22:57:03.969162,Pro,Yes,
29484,1,2023-07-28 22:57:03.969162,Premium,Yes,
19102,2,2023-06-16 22:57:03.969162,,Yes,
24788,4,2020-10-26 22:57:03.969162,Bronze,Yes,
80449,1,2022-11-08 22:57:03.969162,Gold,Yes,
64310,4,2019-09-13 22:57:03.969162,Gold,Yes,2023-06-28 22:57:03.969162
8403,3,2024-07-28 22:57:03.969162,Bronze,Yes,
19991,4,2021-01-22 22:57:03.969162,Silver,Yes,2017-10-19 22:57:03.969162
54128,2,2024-04-13 22:57:03.969162,Pro,Yes,
75829,2,2017-11-19 22:57:03.969162,Premium,Yes,
98452,4,2022-02-26 22:57:03.969162,Premium,Yes,
68375,1,2020-06-12 22:57:03.969162,Premium,Yes,
69399,3,2020-06-28 22:57:03.969162,Premium,Yes,
55900,3,2025-01-01 22:57:03.969162,Pro,No,
44413,1,2018-10-10 22:57:03.969162,Gold,Yes,2020-06-19 22:57:03.969162
81353,1,2017-09-13 22:57:03.969162,Premium,Yes,2022-12-26 22:57:03.969162
95149,3,2024-03-20 22:57:03.969162,Bronze,Yes,
66494,1,2017-10-20 22:57:03.969162,,Yes,
54226,1,2021-03-29 22:57:03.969162,Pro,Yes,
31682,1,2021-05-23 22:57:03.969162,Gold,Yes,2023-01-24 22:57:03.969162
29365,3,2025-06-10 22:57:03.969162,Pro,Yes,
1478,4,2020-12-08 22:57:03.969162,Silver,Yes,
93030,1,2019-06-19 22:57:03.969162,Gold,Yes,
89643,4,2022-07-17 22:57:03.969162,Premium,No,
77193,1,2019-03-06 22:57:03.969162,Bronze,No,
40963,5,2018-08-22 22:57:03.969162,,No,
50356,2,2024-01-16 22:57:03.969162,Bronze,No,
78642,4,2019-05-29 22:57:03.969162,Silver,No,
80343,5,2022-02-07 22:57:03.969162,Bronze,Yes,
87886,2,2019-05-20 22:57:03.969162,Silver,Yes,
45303,1,2024-07-21 22:57:03.969162,Gold,Yes,
87571,5,2024-01-09 22:57:03.969162,Gold,No,
15548,1,2023-06-20 22:57:03.969162,Pro,Yes,
67940,5,2019-08-06 22:57:03.969162,,Yes,
47648,5,2025-02-09 22:57:03.969162,Bronze,Yes,
74876,1,2018-05-02 22:57:03.969162,Gold,No,
77384,1,2024-05-03 22:57:03.969162,,Yes,
70973,2,2019-01-06 22:57:03.969162,Gold,Yes,
51945,4,2023-01-13 22:57:03.969162,Bronze,No,
74750,2,2022-09-19 22:57:03.969162,Gold,No,
58869,1,2021-10-09 22:57:03.969162,Bronze,Yes,
35841,2,2020-07-24 22:57:03.969162,Premium,Yes,
40113,5,2025-03-29 22:57:03.969162,Silver,Yes,
78407,2,2021-03-25 22:57:03.969162,Pro,No,2025-06-01 22:57:03.969162
84124,3,2019-08-29 22:57:03.969162,,Yes,2020-03-02 22:57:03.969162
84268,2,2020-01-21 22:57:03.969162,,Yes,
83544,2,2018-03-17 22:57:03.969162,Premium,No,
34653,1,2023-01-22 22:57:03.969162,Bronze,No,2025-07-20 22:57:03.969162
96760,3,2020-09-02 22:57:03.969162,Premium,No,
35109,2,2021-03-30 22:57:03.969162,,No,
13678,1,2019-11-06 22:57:03.969162,,Yes,
64910,3,2021-06-19 22:57:03.969162,Gold,Yes,
93756,4,2020-05-29 22:57:03.969162,Pro,No,
99768,4,2017-09-21 22:57:03.969162,Bronze,No,
86788,1,2021-08-04 22:57:03.969162,Silver,Yes,2025-04-30 22:57:03.969162
21283,4,2025-06-20 22:57:03.969162,Silver,No,2024-04-27 22:57:03.969162
6748,1,2023-06-20 22:57:03.969162,Gold,Yes,2020-05-30 22:57:03.969162
87802,5,2025-02-22 22:57:03.969162,Premium,Yes,
70540,1,2019-11-18 22:57:03.969162,Bronze,Yes,
25767,4,2020-11-30 22:57:03.969162,Silver,No,2025-01-06 22:57:03.969162
84089,5,2021-12-22 22:57:03.969162,Gold,Yes,
83,3,2025-01-19 22:57:03.969162,Gold,Yes,
76059,1,2020-10-25 22:57:03.969162,Silver,Yes,
45341,5,2019-09-29 22:57:03.969162,Gold,Yes,
50694,1,2024-06-20 22:57:03.969162,,Yes,
76992,2,2024-11-21 22:57:03.969162,Gold,Yes,2024-08-10 22:57:03.969162
64051,1,2019-04-08 22:57:03.969162,Premium,Yes,
35357,3,2024-01-27 22:57:03.969162,Pro,Yes,
41622,4,2020-05-31 22:57:03.969162,Silver,Yes,2022-05-25 22:57:03.969162
20281,5,2018-09-03 22:57:03.969162,Gold,No,
72185,4,2023-05-20 22:57:03.969162,Gold,Yes,
9509,1,2022-06-12 22:57:03.969162,Premium,Yes,
85074,2,2025-02-17 22:57:03.969162,,No,2023-04-20 22:57:03.969162
80746,4,2020-02-16 22:57:03.969162,Silver,Yes,
49970,2,2023-04-29 22:57:03.969162,Premium,Yes,2019-08-18 22:57:03.969162
46623,2,2023-05-28 22:57:03.969162,Silver,Yes,
10343,4,2023-01-24 22:57:03.969162,,Yes,
70555,3,2022-11-07 22:57:03.969162,,No,
70438,3,2022-07-07 22:57:03.969162,Silver,Yes,
28746,5,2020-12-24 22:57:03.969162,Gold,Yes,
31780,2,2018-04-26 22:57:03.969162,,Yes,
83254,4,2019-09-09 22:57:03.969162,Bronze,Yes,
7740,2,2018-02-24 22:57:03.969162,,Yes,
58727,1,2023-05-11 22:57:03.969162,Pro,Yes,
58702,1,2023-03-15 22:57:03.969162,Pro,Yes,
48136,5,2018-06-04 22:57:03.969162,Gold,Yes,
80948,2,2021-02-13 22:57:03.969162,Gold,Yes,2022-03-22 22:57:03.969162
1818,2,2024-09-07 22:57:03.969162,Premium,Yes,2019-08-15 22:57:03.969162
43423,5,2018-09-22 22:57:03.969162,Silver,Yes,
6885,2,2018-07-19 22:57:03.969162,,Yes,2019-08-17 22:57:03.969162
81575,3,2019-12-14 22:57:03.969162,,No,
25550,5,2017-12-31 22:57:03.969162,,Yes,
80761,2,2022-01-08 22:57:03.969162,,Yes,
89863,4,2021-06-08 22:57:03.969162,Pro,Yes,2019-12-05 22:57:03.969162
58014,5,2024-05-15 22:57:03.969162,Gold,No,
40831,2,2019-05-10 22:57:03.969162,,No,
52186,5,2024-09-02 22:57:03.969162,Premium,Yes,
49354,3,2021-08-10 22:57:03.969162,Gold,Yes,
63226,2,2022-02-26 22:57:03.969162,Bronze,Yes,
7713,5,2020-10-27 22:57:03.969162,Premium,No,
90282,5,2021-01-29 22:57:03.969162,Silver,No,2023-02-05 22:57:03.969162
34182,4,2024-06-20 22:57:03.969162,Pro,Yes,2017-12-18 22:57:03.969162
28092,2,2022-05-26 22:57:03.969162,Pro,Yes,
7169,3,2023-06-20 22:57:03.969162,Gold,Yes,
80459,3,2024-01-01 22:57:03.969162,,No,
23220,5,2018-11-02 22:57:03.969162,Pro,Yes,
24263,2,2018-04-21 22:57:03.969162,Pro,Yes,
99454,2,2022-01-12 22:57:03.969162,Bronze,No,2023-03-02 22:57:03.969162
1682,4,2018-11-19 22:57:03.969162,Gold,Yes,
32047,3,2018-06-26 22:57:03.969162,Bronze,Yes,
56202,1,2025-05-24 22:57:03.969162,Bronze,Yes,
